Date,Star,Condition,Rating
11/28/2020 8:11:08 AM,4 Stars,Rated  for Moderate Pain Report ,"One hour after taking the medication, I felt no more pain, was very sleepy but had a sudden dizzy spell, I started sweating a lot, felt hot and had to lie down. The dizziness went away soon after. I slept very well. Woke up with an intense headache and very dry mouth. Very tired the next morning still. I am taking diazepam 10mg every morning for my chronic anxiety. Please be careful when using the two. The side effects are worse. Otherwise it helped a lot with the pain and can assist to sleep through pain."
10/20/2015 10:00:51 PM,1 Stars,Rated  for Osteoarthritis Report ,I might as well have been taking skittles what a waste of time money and production cost. Did absolutely nothing to help my pain. But hey who cares if all the disabled people in the United States are trapped in bed as long as we get to have a reduction in pain medication use right DEA?
8/29/2011 9:52:18 AM,5 Stars,Rated  for Moderate Pain Report ,I have moderate to severe pain in my joints from arthritis. I have tried several different pain medications but the combination of acetaminophen and tramadol is the best that I have found for me. It is long lasting and there are no side effects from this medication for me. I usually take 1 or 2 tablets once or twice a day as needed for pain.
4/10/2010 7:05:16 AM,5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"I can not live with out this medican, When I feel like I can't move & Hurt so bad, It's time for it. I take it 2 at a time,30 mins Later I'm a different person. Some days I need to take 6 Aday. try not to go over 6 ADay."
9/16/2009 5:42:21 PM,5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"i have been on ultram and i have been on ultracet for my fybromyalgia pain for about 3 yrs.. My pain rating most mornings when i wake up ,between 1-10 is most of the time a 7 to a 8, i have to usually sit for at least 30 mins. after taking my ultram in order to move around without so much pain ,I am only 28 yrs. old. It is a really good pain killer but is additictive and i have been late before getting my ultram filled and suffered terrriblely, i guess it was withdrawl off not taking some, it was horrible, i recommend that if you take this medication for a very long time then to be careful and don't forget to get it when its do. i thought it would be ok to go without it , no big deal i thought but i definately know it gives you flu like akeing symtoms ,cold sweats and muscles drawing up pain in your legs, so that on top of my everyday pain from the fybromyalgia was awful."
6/9/2009 9:31:43 PM,5 Stars,Rated  for Headache Report ,"I suffer from terrible tension headaches. No over the counter medication helps relieve the pain for me. For the past two years I have been taking a very low dose (often half of a pill) on an as needed basis for tension headaches. It relieves my headaches quickly and lasts four hours and often all day. The only negative side effect I have noticed is that my hearing is somewhat sensitive after a few hours of taking the pill...nothing not tolerable, but it's definetely a different sensation from anything I've been used to. I would highly recommend this medication to relieve tension headaches and migraines."
4/19/2009 12:06:08 AM,2 Stars,Rated  for Dental pain Report ,"I have a severe infection in my lower jaw. This medication is not that great at treating dental pain; it does reduce the pain, making it tolerable, however, you are never pain free. Sleeping is difficult due to pain and the short amount of time this medication lasts (5.5 hrs at the most). It may work well for other types of pain, but not dental pain."
3/3/2009 1:54:35 AM,3.5 Stars,Rated  for Endometriosis Report ,When the pain was worse the Ultracet did help. Would I recommend it- Depend on whether other options had been tried first. Start low and work your way up. That's what I've had to do.
1/15/2007 10:29:39 PM,3.5 Stars,Rated  for Spinal stenosis Report ,generic availble this has worked for me 2pills 3x day for allmost ayear the cost is high but better than other pills that make you fuzzy headed this is not a cure as when you stop the pills pain returns but is okay as stopgap and lets me work
1/15/2007 10:29:39 PM,3.5 Stars,Rated  for Back pain- chronic Report ,generic availble this has worked for me 2pills 3x day for allmost ayear the cost is high but better than other pills that make you fuzzy headed this is not a cure as when you stop the pills pain returns but is okay as stopgap and lets me work
11/18/2006 4:00:42 AM,1 Stars,Rated  for Bursitis- trochanteric (Hip bursitis) Report ,"not useful I've been given Ultracet to ease the pain of bursitis and, after taking it for about 4 days, it doesn't appear to have helped at all - Excedrin was better - and I've been feeling weak and nauseous shortly after taking it. I thought I'd give it a chance for a few days, but have decided that 4 should be enough!"
11/18/2006 2:54:37 AM,4 Stars,Rated  for Kidney stones Report ,"Kidney Stones Was given Ultracet to calm acute pain associated with Kidney Stones. Do not find it as effective as other treatments such as Meperdine. With really acute pain, it does not work. It will, however, manage less acute pain. I do find it to cause less drowsiness than other remedies."
10/6/2006 1:46:17 AM,4 Stars,Rated  for Myofascial pain syndrome Report ,Good One pill does nothing. I'm allowed 4 a day so I take 2 in the AM and 2 at bedtime.
9/23/2006 12:14:51 AM,5 Stars,Rated  for Osteoarthritis Report ,"I Thank God For It! I been on ultracet for a few weeks now and I thank God for it. I have severe Lordosis, I am a severe sway back. My spine is caving in forward and my 4 & 5 vertabrae are bone on bone. I have been in so much pain for most of my life. I am 35 years old and felt like 85. I also have osteopenia and now since i been on this i can be active again. I can move around and not be in so much pain. I can still feel it but it takes the edge of with out feeling drugged like other medication I have tried. I really am happy. I do feel what works for some will not work for all. But please dont slam something that works for others. you just havent found what is right for you."
9/10/2006 10:46:06 PM,4 Stars,Rated  for Spondylolysis and spondylolisthesis Report ,"very effective in HIGH dosage Sleepy for a long time after taking DO NOT TRY to Drive or operate machine while taking this medicine. Takes a VERY LONG time to wear off, sometimes as long as 24 hrs."
8/2/2006 6:26:07 PM,4.5 Stars,Rated  for Degenerative disc disease Report ,"Excellent I have never been able to take pain meds for any length of time, because they eventually cause me depression, quickly cause constipation, and just generally, even though I have a someone addictive personality, things like Vicodin just mess me up, cause stomach problems, and no good feeling. Ultracet is pretty miraculous- completely different than Codeine, or any other pain med I have tried. It helps the pain, has no side effect except a minor amount of constipation if I don't watch my diet (I have a condition that pre-disposes me to that). I recommend it highly- I have taken it over time as needed, but lately have been in more pain, so if I take two at once, one time a day, it seems to knock my neck or back pain out, and I don't have to take more. I usually take it with 600mg Motrin, and there is no interaction. What a relief!"
8/2/2006 6:25:52 PM,4.5 Stars,Rated  for Scoliosis Report ,"Excellent I have never been able to take pain meds for any length of time, because they eventually cause me depression, quickly cause constipation, and just generally, even though I have a someone addictive personality, things like Vicodin just mess me up, cause stomach problems, and no good feeling. Ultracet is pretty miraculous- completely different than Codeine, or any other pain med I have tried. It helps the pain, has no side effect except a minor amount of constipation if I don't watch my diet (I have a condition that pre-disposes me to that). I recommend it highly- I have taken it over time as needed, but lately have been in more pain, so if I take two at once, one time a day, it seems to knock my neck or back pain out, and I don't have to take more. I usually take it with 600mg Motrin, and there is no interaction. What a relief!"
6/14/2006 9:10:37 AM,5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Great drug for me! This medication gives me a life back. I have severe inoperable tarsal tunnel syndrom and fibromyalgia. This medication lets me get my house cleaned and say, go to the zoo occasionally - things I could not do without it. ONly side effect I have is it seems doctors want me to beg for it. They'd all just rather give me expensive antidepressants that make me throw up when I am not depressed. TIP - get Tramadol instead of ultracet. Add in your own 500 mg tylenol. The cost difference is huge. I just got a refill of 60 for 9.48 at Wal-Mart. That will do me 3 months or so. Can't beat that!"
6/7/2006 2:23:27 PM,4 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"IT WORKS I was on Tramadol and used tylenol to beef it up. When changed to to Ultracet I very rarely use tylenol any longer. I usually take only 2 per day unless I'm having a flare, then I take 3-4."
5/11/2006 1:56:36 PM,4 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,relief stomach discomfort at times
5/7/2006 12:15:15 AM,2 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Doesn't work for me Unfortunately this drug doesn't do much for me unless I take three at a time which isn't the best idea. I think it is useful for mild pain (for me) but doesn't help with severe pain. It does make me constipated, foggy, and nauseous at times."
3/16/2006 6:11:39 PM,5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Ultracet I have been using Ultracet for some time now for the pain of fibromyalgia. This is a great drug for easing pain. I think it is called the ""Smart Drug"". I use it every morning when I wake up and this gets me through the day much easier. It can make me a little drousy but it can also keep me awake at night. Doctors won't tell you that it can keep you awake at night so beware. This is why I only take it in the morning and I take something else at night. I went to one of the top fibromyalgia doctors who didnt even advise me that this drug can keep you awake at night if taken too late in the day. But I believe it even mentions this fact on the Ultracet website. I prefer the name brand over the generic. I do believe there is a difference. So, if you can get the real thing I would advise that. I do not take every 2 -4 hours as selected above. That was my only choice in the boxes when I filled out this quesionaire."
1/22/2006 11:10:20 PM,4 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"ultram Hi, I have been taking Ultram for 7 yrs. I do go through periods where I don't take it or cut back. On days when I wake up feeling like ""today is a lost cause"", I will take an Ultram & within 15 minutes feel so much better. Often I feel like I am ""speeding"" a bit & then sort of come down from it later & get tired. To me it's a Godsent. There are days when the pain is just so excruciating that I have to take Vicaden, which iis, of course, much stronger, but addictive. I try not & just stick with the Ultram. I would like, very much to send in a photo & be able to write some articles so that we can share experiences & help each other. Fibromyalgia & CFS are very lonely diseases. No one could begin to understand the bazarre, intense symptoms that many of experience every minute of our lives! Thank You, Ellen Silvia"
12/21/2005 10:36:59 PM,0.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"ultracet Severe allergic reactions to both this and ultram. Was on a constant high. Dizzy, nauseated, and hallucinations."
12/18/2005 5:00:25 AM,1 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Ultracet Unfortunatly, I tried this long ago and it does NOTHING to help me, either does it's it's sister med, Ultram. I might as well be taking a placebo. The cost is outragous, and the results leave alot to be desired."
12/17/2005 5:13:12 AM,4.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,Ultracet A Good drug..really takes the edge off the Fibromyalgia Pain. Good for sinus headaches too.
12/16/2005 7:34:11 AM,2 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,UltraCet May be effective for very mild fibro pain. I have concerns regarding the frequency and amount of medication taken verses the pain relief achieved. I find Vicodin is much more effective for the type of fibro pain I usually experience.
12/14/2005 7:04:39 PM,1.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,Ultracet - Big disappointment This is a worthless drug in my opinion. My Rheumatologist (not any more) gave this to me because he didn't like to prescribe narcodics. Well...suffing along I did until I finally found a new doctor that prescribed oxycontin. What a relief. For those of you that can't find a doc that will prescribe what really works - keep trying. Several doctors later I finally found a keeper. Don't give up no matter how much you try to convince yourself (after hearing it so much) that it is all in your head. I actually had one doctor tell me that even if I feel the pain (like a torn muscle or something) that my muscles were really okay - it was just my brain malfunctioning and that I should continue to work through the pain. What a crock!!! Pain is pain...get something for it so you can have a life again.
12/14/2005 5:58:19 AM,1 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"ultracet I took ultracet only for about 10 days. It made me so jittery, and made my heart race so, that I thought I might go into cardiac arrest. I tried it thinking that I would get used to the medicine , and the effects would go away, but they didn't. So I had to throw it down the disposal. better luck for you I hope."
12/12/2005 1:01:14 PM,4 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,pain meds Switched to Ultracet from stronger pain meds like Oxy- and Hydrocodones. Ultracet doesn't work as well as the others but there are NO side effects to it and I feel I can take it for longer periods of time without becoming a zombie. It helps with short term pain received from doing too much...
11/14/2005 10:05:56 PM,2 Stars,Rated  for Interstitial cystitis Report ,didn't work this medication provided me with no relief from symptoms.
11/12/2005 11:35:19 PM,2.5 Stars,Rated  for Back pain- chronic Report ,ultracet works as well as ibuprophen for back ache.
11/11/2005 11:34:00 PM,3.5 Stars,Rated  for Migraine Report ,"Just like Tylenol #3 I have almost daily headaches, mostly migraine, and I have only tried this stuff a few times. It seems just like Tylenol #3 to me; gives some relief unfortunately along with mild nausea like from codeine. Fiorinal works way better without the nausea. I think I'll finish off what I've got but I don't think I'll get a refill. Worth a try but doesn't work so great for me. Good luck."
11/9/2005 9:26:48 AM,4 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Ultracet Ultracet seems to be doing very good in the area of pain, however it doesn't help the fatigue."
10/17/2005 10:30:09 PM,3.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,Ultracet It works great on my pain. The only side effect I have is constipation.
10/16/2005 12:07:07 PM,4 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,ultracet Actually ultracet is the only pain medication i have used since diagnosis.
9/20/2005 10:22:15 PM,3 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"ultracet ok but Ultracet is okay for regular to get you through the day meds, butnot the best for bad flare ups."
8/31/2005 12:44:00 AM,3 Stars,Rated  for Herniated discs Report ,"Ultracet seems better for me than Pecocet! Ultracet helps with dulling the pain in my back, sciatic pain, piriformis syndrome, and ITB. Percocet makes me loopy and is a narcotic and I have a child with severe ADHD and had a hard time keeping an eye on him as it made me spacey. Ultracet dulls the pain, Percocet took the pain away, but with lots of side affects, like the loopiness, forgetfullness, and just all out there! Some say Ultracet is just like taking Advil, but for me, it helps me more than that! So, don't listen to what others say, just ask your primary doc, as for me, it has been a long road, and will soon start PT, and I hope and pray that the Ultracet does help me, as I deal with that! Hugs, Dawn"
8/31/2005 12:44:00 AM,3 Stars,Rated  for Sciatica Report ,"Ultracet seems better for me than Pecocet! Ultracet helps with dulling the pain in my back, sciatic pain, piriformis syndrome, and ITB. Percocet makes me loopy and is a narcotic and I have a child with severe ADHD and had a hard time keeping an eye on him as it made me spacey. Ultracet dulls the pain, Percocet took the pain away, but with lots of side affects, like the loopiness, forgetfullness, and just all out there! Some say Ultracet is just like taking Advil, but for me, it helps me more than that! So, don't listen to what others say, just ask your primary doc, as for me, it has been a long road, and will soon start PT, and I hope and pray that the Ultracet does help me, as I deal with that! Hugs, Dawn"
8/8/2005 3:22:51 AM,2.5 Stars,Rated  for Lupus Report ,ultracet I personally do not have good pain control with this medicine. I continue to take it because it does lessen the pain mildly and is not addictive.
6/17/2005 7:02:17 PM,5 Stars,Rated  for Crohn's Disease -- Maintenance Report ,"Ultracet!! I was prescribed these pain killers during a time when my doctor was out of town and I needed something for my pain. They work great for those times when you just can't stand the anguish anymore. There's not really any side effects, but they can make you a little drowsy. Whenever my pain gets too much(which isn't very often anymore), I just take one of these pills to help me get through it. Very recommended!!!"
4/30/2005 10:27:16 PM,3.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,Ultracet for Fybromyalgia Pain I have been taking Ultracet for a week now and its really working for me. I still can't beleive there is no pain. Its wonderful!
2/27/2005 7:46:43 PM,3 Stars,Rated  for Osteoarthritis Report ,"Ultram I have Chronic OA in knees. Have taken all the Opiods that are out there. I take Tramadol when I know I will be active or driving. I do have to take 100mg 2xday for pain. I can tell you that Percs or Duragesic are Superior, but you have to deal with narcotic effects."
11/13/2004 5:30:49 PM,4.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Ultracet can work I have been using it since it came out in 2001, I switched from Ultram and found that it works faster and longer, my pain is not completely gone and there are still bad days, but for the most part I am able to function thatnks to this medication."
11/1/2004 8:38:14 PM,4 Stars,Rated  for Lupus Report ,Ultracet This was my miracle drug - I was in so much pain I couldn't walk. I have a three year old and don't have time to be out on a couch. I have to work and get by so far my kidney's and liver are tolerating the medication. Thank you.
9/24/2004 4:28:11 AM,2 Stars,Rated  for Back pain- chronic Report ,no different from ultram... except you have to be more careful with the tylenol in it.
9/24/2004 4:28:11 AM,2 Stars,Rated  for Spondylolysis and spondylolisthesis Report ,no different from ultram... except you have to be more careful with the tylenol in it.
9/17/2004 4:08:03 AM,4 Stars,Rated  for Osteoarthritis Report ,Ultracet It is working great for now. I get pain relief without the drugged up stupor. Only been on this medicine for 3 weeks.
9/17/2004 4:08:03 AM,4 Stars,Rated  for Osteoarthritis of the spine (Facet joint degeneration) Report ,Ultracet It is working great for now. I get pain relief without the drugged up stupor. Only been on this medicine for 3 weeks.
9/9/2004 2:57:49 PM,2 Stars,Rated  for Rheumatoid Arthritis Report ,Ultracet Didn't do anything for my pain. Ultracet is a combination of Ultram and Tylenol. I do much better taking Ultram and Excedrin together.
9/1/2004 10:08:23 PM,5 Stars,Rated  for Osteoarthritis Report ,WORKED GREAT I WOULD STILL BE USING THIS BUT HMO WILL NOT PAY FOR IT SO DOC SWITCHED ME TO REGULAR TRAMADOL.
8/5/2004 3:47:58 AM,4.5 Stars,Rated  for Diabetes Mellitus Type II Report ,"ultracet I have diabetes and take it for foot pain from my nerves in my feet, neuropathy works great, But the side effects are thirst, and about 1.5 hrs. to activate, I am a big guy and push 300 lbs. and some time I take 3 about noon and 2-3 around 7 or 8 pm, I would say it is a good drug for pain but plan ahead."
7/18/2004 8:01:14 PM,5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"This is practically a miracle drug for me I was dx'd with fibromyalgia 12 years ago, and every day of that I have been in constant pain, to one degree or another. Recently I had been in my biggest flareup in years. I was practically bed-ridden with the pain. After taking just three pills of this one day -- the next day I felt like a totally new woman. I am 100% pain free. I had to fight my doc tooth and nail to get this drug. I don't know how long this will last -- I have had lots of experience with drugs working for a while and then having no effect. But for now I am going to enjoy my total freedom from pain. The thing is, see, when I am free of pain that means I can exercise and do fun things, which then lifts my spirits and improves my overall health. Now I am using just one tablet in the afternoon and one right before bed. That seems to be plenty for me. And my body is mightily resistant to most other drugs! As for addiction -- well, I am addicted to not being in pain. Who wouldn't be? If you feel constant, debilitating pain every day of your life, and then one day you are painfree because of a pill, of course you are going to want to take the drug. What's wrong with that???? That's not ADDICTION! That's TREATMENT FOR PAIN! I know it's not going to work for everyone, but the drugs that work for other people do diddly squat for me, or they cause horrible side effects. So I am happy with this drug!"
5/29/2004 12:39:03 AM,0.5 Stars,Rated  for Herniated discs Report ,"YUCK!!! I was given this as a sample for back pain and after taking the recommended (2 pill) dosage, I've been unable to crawl out of bed for hours. I'm incredibly nauseous, shaking, dizzy, tired and thirsty. I took w/water shortly after eating. Please start with just one if drugs ""work"" on you (like they do on me). I still have pain but now I feel like I've been food poisoned on top of it."
5/13/2004 7:19:39 PM,3.5 Stars,Rated  for Migraine Report ,"Better than others not great I have cluster attacks that settle into several days of migraine-type pain (but w/o nausea or light/noise sensitivity). I have tried every med and combo imaginable. I use verapamil & singulair for cluster prevention with 85% reduction in clusters. When they do attack, I use Ultracet (2 tabs immediately and 2 more in 6 hours). It alleviates pain about 95% of the time. Important notes: 1. I must take the ultracet within the first 5-10 minutes of the cluster or no amount of ultracet will have any effect. 2. If I take it in the evening, it will always cause very mild itching and about 50% of the time will wire me too high to sleep well. All in all, Ultracet is the best I have found."
5/13/2004 7:19:39 PM,3.5 Stars,Rated  for Headache - Cluster Report ,"Better than others not great I have cluster attacks that settle into several days of migraine-type pain (but w/o nausea or light/noise sensitivity). I have tried every med and combo imaginable. I use verapamil & singulair for cluster prevention with 85% reduction in clusters. When they do attack, I use Ultracet (2 tabs immediately and 2 more in 6 hours). It alleviates pain about 95% of the time. Important notes: 1. I must take the ultracet within the first 5-10 minutes of the cluster or no amount of ultracet will have any effect. 2. If I take it in the evening, it will always cause very mild itching and about 50% of the time will wire me too high to sleep well. All in all, Ultracet is the best I have found."
3/25/2004 6:36:38 PM,3.5 Stars,Rated  for Fibromyalgia syndrome (FMS) Report ,"Ultram and Tylenol I use 50mg Ultram and then take 2 Tylenols--saves me money and increases the dose for pain relief. I have fibromyalgia and this combination is very effective for the pain, but only lasts approximately four and one half hours for maximum pain relief. Also, it tends to make me hyper and talkative which I don't like. I can't take it later than 3:00p.m. or it keeps me awake. I've foudn that it is less effective if taken twice daily over more than one week, so I take a break and just accept the increase in pain, then start back up on it after a week off. This keeps the dose effective and lower my dependency risk."
