Date,Star,Condition,Rating
2/28/2020 11:27:57 AM,5 Stars,Rated  for Epilepsy Report ,I have been taking this medication since I was 18 years of age. It is now 2020 and I haven't had a seizure since 2007.
1/10/2019 2:39:27 AM,4 Stars,Rated  for Trigeminal Neuralgia Report ,"I have taken Tegretol in it various forms for over 10 years. About 5 years ago i started to complement gabapentin to control the TN pain. The dosing through the years has varied, at times, to address the degrees of pain I experienced. Two years ago, i was under a tremendous amount of stress after my mom's first stroke. I must have been taking 3 times the maximum dose for tegretol (3600mg) and at or more than 4800mg of the gabapentin per day for 3 weeks. Needless to say by the end of the third week I had experienced an atrioventricular heart block and needed to be medivaced to a hospital and 5 days later now have a pacemaker. At the time, i honestly did not know that i was ""over dosing"" on the medications, I wanted to simply control the TN pain. I do not know conclusively that the medications caused the block and ultimate heart failure, but it is something to be aware of. I am thankful I wasn't alone that night when this occurred. I simply would have went to sleep and would not be posting this now. The epitol works wonders for the pain...and I have been very aware since my experience dosing and thresholds of pain tolerance."
12/24/2018 8:53:02 AM,1 Stars,Rated  for Epilepsy Report ,"Took carbamazepine for 11 years for seizures. I was on extended release 200 mg morning and at night, and had seizures when highly stressed. It was increased over the years and never stopped seizures. When I had a grand mal seizure with a one hour unconsciousness, and in ER, then referred to a new doctor. Increasing the meds never stopped seizures and a brain lesion on MRI was discovered and removed to stop seizures. The meds gave me side effects of decreased memory, balance problems and lethargic. My speech became slurred too and could not recall needed words for conversation. It has caused my tongue Dystonia, where I have no control and constantly licking my lips, embarrassing. I no longer take this medication and no longer side effects except for Dystonia."
11/20/2018 7:41:28 AM,5 Stars,Rated  for Trigeminal Neuralgia Report ,Ive been taking the generic form of Tegretol for 2 years to treat Trigeminal Nueralga . The drug works great but I have noticed quite a bit of hair loss. Its bothering me enough to where ill be talking to my doctor about other meds. It helps my pain greatly tho.
8/27/2018 3:55:00 PM,4 Stars,Rated  for Bipolar II disorder Report ,It worked perfectly for helping me. The only issues were it made me incredibly tired and slightly nauseous all the time. My dose was lowered to fix the tiredness but it didn't help my condition at all. I'm currently on the search for a new medication but would definitely return to tegretol/carbamazepine again.
9/3/2017 11:57:02 AM,5 Stars,Rated  for Epilepsy Report ,Been on this for 3 months and it has made a huge positive difference. I was scared about the side effects but I had to weigh up the pros and cons and took it it has helped me lots. First few weeks had minor side effects but it has gone now. If I miss a dose and then the side effects come back. But it is the best drug I have been on to control seizures.
8/27/2017 8:14:55 PM,0 Stars,Rated  for Epilepsy Report ,I have been taking gabapentin 300 mg/day and tegretol er 200 mg/x2 a day. I was taking 200 once a day and experienced spells or auras (the start of a seizure) but wouldnt lose consciousness. I went to the er after experiencing a spell where I wasnt sure if I lost consciousness. I ended up having a grand mal in the er that night and now need to get cleared to drive. 2nd time. Last was 10 years ago. Thank goodness for uber and lyft! I still have some independence.
7/16/2017 4:46:28 AM,1 Stars,Rated  for Chronic fatigue syndrome (CFS; CFIDS; M.E.) Report ,"My 16 yr old daughter was prescribed this for bipolar disorder. She had 2 seizures while on this medication. Also good with other side effects blurred vision, dizziness & terrible leg cramps. Never again will I give this medication to my dtr. She has never had a seizure prior to taking this medication."
2/2/2017 8:44:22 PM,1 Stars,Rated  for Partial Seizures Report ,"I was diagnosed at age 7 with tourette syndrome, OCD, ADD, and mild partial/complex seizure disorder. Before I was ten years old I was extremely fit, lively etc. They struggled to find a cocktail of drugs that could treat my tics without making me a fatass zombie. After two years of guinea pig methods docs found that risperidone, prozac and tegretol worked ""OK"" which is really all you can hope for without self medicating when it comes to Tourette. I had pretty bad tics as a teen but over the course of young adulthood I slept easily half my natural lifespan away yet was terrified of quitting any of those pills. I didn't take them because I was crazy or depressed. I took em for uses for which they're usually not prescribed. Over the last five years with or without my doc's grudging permission I've quit prozac and in the last year I finally quit the last full tablet of risperidone and I experienced immediate and rather stunning weight loss...Like when I quit prozac, and like when I'd reduced risperidone, but almost at a frightening rate. But here's the thing...It's been at least five months since I stopped risperidone and because I'm still taking the tegretol I truly believe it is bl"
12/27/2016 2:31:51 PM,0 Stars,Rated  for Tonic-clonic Seizures Report ,I will immediately grab your rss feed as I can not find your email subscription link or enewsletter service. Do you have any? Kindly let me know so that I could subscribe. Thanks. gdeddggeaakbbked
11/7/2016 7:34:48 PM,4 Stars,Rated  for Chronic fatigue syndrome (CFS; CFIDS; M.E.) Report ,I take Cabamazepine 200mg twice a day. Doesn'the seem to work so well in the morning but in the afternoon next dose seems to help with depression. Paxil and Cabamazepine unable to focus enough to work. Went I have panic attacks I also use lorazipan. Gets very expensive.
4/2/2015 7:11:59 PM,5 Stars,Rated  for Epilepsy Report ,"GENERIC TEGRETOL XR JUST AS GOOD AS THE BRAND NAME!!! I have had epilepsy for 40+ years. I took brand name Tegretol XR until I retired.. I think it was around $50 for three months when I worked... THEN it shot up to $200 A MONTH! ($800 for 3 mos!) Get to know your pharmacist. My pharmacist researched it, told me that Novartis owns the Tegretol RX lab... He then showed me a print out that the generic Tegretol also comes from the Novartis lab....that lab makes both the generic and the brand-name... Once I show that is my doctor he prescribed the generic and I I have noticed no difference.. i.e. No seizures or side effects. I asked the pharmacist why they would sell it for that much and he said so they can make money. You have to do your research. I now pay $12.00 for 3 months.. Saving $785...or $2400 a year. Ask your pharmacy if not the brand name & generic are made at the same lab..."
4/1/2015 9:05:09 PM,5 Stars,Rated  for Depression Report ,"Do not know why my review did not show up, but here I go again I have been taking this for depression for several years and it has brought me out of the funk... It saved me.. I have been having dizzy spells seaszers before starting this med. my neurologist has been very conservative on upping my dosage, this has helped to bring them from almost every day to every week or so... We are getting there..."
