Date,Star,Condition,Rating
4/1/2022 8:16:30 AM,2 Stars,Rated  for Depression Report ,"I woke up in so much pain after 2-3 days on Lamotrigine at 25 mg. All-over body aches, my low back, and especially painful (almost immobilizing) were the areas I already experience daily pain from osteoarthritis. I felt like I'd been beaten in my sleep, on top of that pain. Sometimes I doubt my experience and judgments, but this was undeniable and very unusual for me. I took the pill for one more day and the pain was even worse; so, I stopped on the 5th day for the entire weekend. On Monday, my doctor said this wasn't a common side effect and probably unrelated. (Why I'm adding this review). So, giving it a good try, I started again that day and hoped to narrow this down to the medicine. It was slightly less painful, but within 4 days I had a lot of pain again. I talked to my doctor today and said maybe this Rx triggers inflammation in my body. So, for what it's worth, Lamotrigine didn't work for me. In fact, it made my life worse for those two weeks; and with my MDD/Depression and Complex Trauma symptoms, more trouble is the very last thing I need in the world. I may or may not try another mood stabilizer in the future. I'm wary, to say the least."
4/1/2022 4:45:49 AM,5 Stars,Rated  for Bipolar II disorder Report ,This could be one of the best Drugs ever created by man
3/21/2022 10:51:45 AM,5 Stars,Rated  for Depression Report ,I was diagnosed with Bipolar NOS and I take this in conjunction with Zoloft. I have not felt this well since I was a little kid! First two weeks I was extremely tired. I adjusted. I also experienced headaches during ovulation. I lowered the dosage and it was resolved.
3/8/2022 12:30:36 AM,5 Stars,Rated  for Bipolar II disorder Report ,Been on Lamictal for a few months after being diagnosed with bipolar type 2. No side effects and has really helped
3/6/2022 4:42:15 AM,1 Stars,Rated  for Depression Report ,"So I was recommended to try this for depression (for which I believe was wrongfully diagnosed as this whole thing started because of anxiety and panic attacks). Started the regular titration schedule, got to 100mg then all hell broke loose in my mind. I had severe suicidal ideations, became obsessive over the meaning of life, uncontrollable crying, increased panic attacks and anxiety, nightmares, disassociation. IT WAS AWFUL. Being a nurse I did some research and found these to be uncommon, yet still possible side effects. I’m working on titrating off of it which is awful too. I had only been on it five weeks when this all occurred. All I know is I’ve been told when this whole situation started for me that it was due to a lot going on and brought on by stress as I’ve never had issues with anxiety, panic, depression or other mental health ailments in the past (35 y/o). Three months later I’ve been put on three different meds all with adverse effects, this by far being the worst. If it works for you, that’s wonderful and I’m glad it works. If it doesn’t, I’m right there with you. I CANNOT WAIT to have this medication out of my system."
8/7/2021 2:18:48 PM,4 Stars,Rated  for Epilepsy Report ,"Previously I was taking Keppra and controllable but very aggressive thoughts toward others. Since I switched to Lamotrigine, my seizures are under control and I am driving again. My sleep has not been effected, no change in weight and the aggressive feelings are completely gone. It has changed my life!"
5/4/2021 11:29:14 PM,2 Stars,Rated  for Bipolar II disorder Report ,"I've been on these for maybes ten years or over (uk female). I was quickly maxed up to 200mg/two tablets a day and they worked for the first few years. Lamotrogine now has heightened my depression, has made me lose all creativity and done something to my body as I come up negative for auto immune diseases, like throid problems, but I display all symptoms with negative blood results and I am free from contraception. The extra depressive feelings obviously make me stay in the house, I can get aggressive, physically abusive, psychotic, basically all of the bad things about bi polar it has kept. It has broken and burn't all bridges with any support I have, but the psychaitrist will not change my medication after numerous requests because I have a job and have not killed myself yet. I am very very scared to come off lamotrgine due to my body being on it for so long and my brain now feels numbed out that I may end up with seizures and memory probems. I was perfectly fine before this.... So it was an off the record thing at the time/still is and I just wished I hadn't been on it for so long. I am only taking it because my body is used to it, it does nothing for my mental health."
4/11/2021 3:29:11 PM,4 Stars,Rated  for Borderline Personality Disorder Report ,"Have never medicated before but a recent suicidal episode led me to lamotrigine.After 7weeks I'm up to 100mg daily and feeling less suicidal than before,am due another increase and hope this will make things even better."
3/28/2021 4:09:48 PM,4 Stars,Rated  for Borderline Personality Disorder Report ,"24yrs been on 200mg for 2 years now for BPD+BD. Drastic change in my life, moods less intense 9/10 improved, but not fully gone. Considering increasing dose but not sure. I still have horrible anxiety and jumpiness, feels like I will tip over into mania any time. Very disconcerting, but overall I have to say - a miracle drug. SE: when starting off drowsiness etc for a couple weeks - normal! Please don’t let it deter you. Other than that, weird SE I got: period changes for a while but resolved, word-finding difficulty! That was a weird one but it’s gone now too. Honestly overall an easy medication for me. My worst fear is worse side effects or it stops working - I pretty much depend on it entirely for a normal, functional life"
3/19/2021 2:53:34 AM,1 Stars,Rated  for Bipolar II disorder Report ,"I started taking Lamictal 4 weeks ago. Slowly increasing the dose weekly until I reached 100mg. At this point I am having horrible migraines, confusion, whole body soreness and pain, nausea, always sleeping and never rested, feeling like I’m desperate from everyone. I also had an episode over the weekend where I stared off in space and don’t remember parts of it. My husband said I was jerking and laughing. I was taken to the hospital and the doctor said it seems I’ve had a seizure and need an eeg test from a neurologist. Lamictal is the one and only change that has taken place in the past 4 weeks. I am slowly coming off of it now. I’m praying I can go back to my life without these horrible side effects."
