Date,Star,Condition,Rating
2/23/2022 8:46:26 PM,1 Stars,Rated  for Pain Report ,"Avoid this medication at all cost!! Have never had any serious health issues before taking this medication, however, after simply taking naproxen one night for the first time for period pain I woke up a few hours later with intense chest pain, heart palpitations, and vomiting. Ended up getting an ambulance to ER two days later as I thought I was about to have a heart attack. Three months later and I am still dealing with the side effects of stomach cramps, nausea, shaking, chest pain/tightness, chills, heart palpitations, hot flushes, and anxiety."
9/30/2021 12:53:52 AM,1 Stars,Rated  for Tendonitis Report ,"I was prescribed Naproxen for my tendonitis {wrist} and I still have not taken it, I don't know what it was that made me wait, perhaps when I was given the medication and the paperwork with it, it was very intimidating the paperwork was as thick as a war and peace book, I did my own research and after reading the reviews, I think I will pass and continue to take tylenol, and go back to my doctor for different alternatives, this is to much, and normally if I have to take something for my health and the betterment, I am okay with it, but for some darn reason I could not get myself to take this stuff, and now thanks to the reviews, I am trashing this Naproxen, I hope everyone on this page, good health and healing..."
7/16/2021 4:39:29 PM,3 Stars,Rated  for Dysmenorrhea Report ,"I have been diagnosed with dysmenorrhea (severe painful menstrual cramps) and I usually take Tylenol but I ran out and woke up at 4am with the cramps, so I had to go to the nearest open gas station. They didn't have Tylenol, but they had Aleve. I read before that prostaglandins are the cause of menstrual cramps, so when I read that Aleve helps with that, I thought it would be a good second choice. I took two at once, as it said I was able to in the first hour, and as the cramps started gradually going away, the stomach pain showed up and became more and more severe. I was hoping to go back to sleep because I have to work today, but I have been running to the restroom to poop and I have been extremely gassy. These stomach pains are brutal, I almost want to make myself throw it up."
6/5/2021 7:28:55 AM,5 Stars,Rated  for Pain Report ,Aleve worked great for excruciating pain I had from fibro and arthritis. It did not give me any stomach problems whatsoever and I have IBS. So my suggestion to anybody wanting to try it is maybe try one pill and if no stomach problems then increase the dose
5/12/2021 9:35:05 AM,1 Stars,Rated  for Acute Gout Report ,Gave me diharreah!!!! I'm on the toilet now. My stomach pain woke me up out of a dead sleep. I took naproxen right before bed for my tooth ache and now I feel like complete crap. I feel so nauseous and I can't stop pooping. My stomach is in nots omg it's horrible! Do not take!!! I feel like I have food poisoning or something. Ughhh
4/26/2021 6:29:07 PM,1 Stars,Rated  for Pain Report ,"deadly harsh rapid onset PAIN. ER visit. Morphine did noyhing to help. Dilaudid and spasm medicine finally dulled this pain. Gi doc....nausea, vomitin...pain worse tham my appendix and gallbladder pain. Why?????!!!! Is this even a otc medicine(aleve) .... a nightmare just waiting for YOU! horrid unmanagable stomach cramps with 10+ pain assessment. Brutal aleves!"
4/11/2021 10:16:10 PM,4 Stars,Rated  for Dysmenorrhea Report ,"Takes closer to 2-3 hours to kick in. But once it does, it eliminates the menstrual pain entirely. It does not last 12 hours for me, I find myself having to take one every 6-7 hours to keep the pain away. I experience some side effects like drowsiness, dizziness/lightheadedness, and just overall feeling kind of loopy. It does the job in the long run but I wish it kicked in faster/was more long-lasting."
4/5/2021 2:15:23 AM,1 Stars,Rated  for Bone Pain Report ,Doctor prescribed for foot pain. Took meds for 3 days started having stomach pain. Stopped taking after three days and informed doctor.Pain still exist especially after eating. Would not recommend.
3/2/2021 1:01:28 PM,1 Stars,Rated  for Headache Report ,"Got prescribed 500mg of Naproxen for my headaches and they actually did help to relieve my pain for the most part. However, I started experiencing side effects just one day after my first dose. I stopped taking them after my second dose, which was 3 days ago, and I’ve still been dealing with abdominal pain (both burning and sharp), nausea, chills and vomit. So not only do I have these new problems but I still have my headaches! Avoid this drug at all costs!!"
3/1/2021 5:27:29 AM,5 Stars,Rated  for Migraine Report ,this is the only thing that helps my migraines so it’s great for that but luckily i don’t get migraines all the time because aleve does have side effects. this time i had to have the max 24 dosage of 12 hour aleve. i had never taken 3 pills in 24 hours before. ugh. GI symptoms! all of them. it’s like the GI symptom buffet. the migraine is gone thank god but i can’t go back to normal activity yet until my gut calms down. first constipation and then sporadic diarrhea plus bloating and a bit of stomach pain. but way better than a migraine. i discovered aleve after i sprained my ankle 12 years ago and it took down the pain and swelling like magic! i had thought my weekend was ruined but it wasn’t. so then i tried it for migraines. i don’t know if the more times you take it the more side effects you have because that first time i had no side effects.
