Date,Star,Condition,Rating
4/16/2021 11:55:20 PM,5 Stars,Rated  for Migraine Report ,"I saw someone said in review that this medication does not treat hormonal migraines. It actually does. I get my migraine for about 3 days every single month, like clockwork either before or during period. Before finding this medicine, I ended up in the urgent care one time because I had thrown up enough from migraine I was getting dehydrated. Started taking this by nasal spray and it gives me relief in about 5-10 minutes. It lasts about 5-6 hrs and then often comes back if in that 3-day time period. No more throwing up, no more laying in bed for those 3 days. I always worry about long-term effects of drugs but it's affected my qualify of life so much that I always make sure I have it on hand now for that one week a month. It's been a total blessing."
3/16/2021 8:05:44 PM,5 Stars,Rated  for Migraine Report ,"For anyone with migraines that have taken countless medications in pill form like I have, talk to your doctor about gastric stasis. This is when your stomach essentially shuts down when you get a migraine and it can’t absorb anything. My consultant finally explained this to me and I was prescribed sumatriptan in injection form. After 20 years of taking tablets and them being totally ineffective. The very next migraine I use the injection and within 10 minutes I can feel it subsidising. I do have to sleep it off but this is a miracle for me and is the first thing that has remotely done anything to help. Fantastic"
12/3/2020 2:56:39 AM,5 Stars,Rated  for Migraine Report ,"I have been taking for 20 years now for migraines. I inject into my belly. More fat, less pain, and I never hit a vein that squirts blood after removal of needle. Giving myself an injection no longer an issue at all. Relief usually within 60 or so minutes. *** ladies, it does not work on my menstrual /hormonal migraines."
11/25/2020 6:13:48 AM,5 Stars,Rated  for Migraine Report ,"Imitrex injections saved my life. I am a lifelong migraine headache sufferer. I’ve been to many doctors and tried many different prescriptions from suppositories to dainty little pills without help. When Imitrex injections found its way to my life, I knew I found a remedy for life. I would give myself a shot on the fleshy part of my hip, wait about a minute or two, and then I would experience the steel gates in my head unlock. Then, I would fall asleep for about an hour. When I awoke, the headache was completely gone. I had energy, I was thinking clearly and I pulled myself together marveling about how much better I felt. My experience was always the same. Each time I used the injection I experienced 100% relief. I will confess the giving myself an injection was something I had to overcome. Usually I had my husband nearby to look in on me to make sure I was okay but after many Times, I started feeling more confident. I call Imitrex a miracle drug. Don’t give up on it!"
10/18/2020 9:28:41 PM,3 Stars,Rated  for Migraine Report ,"I have Hemiplegic Migraines which mimic stroke like symptoms: Motor weakness on one side of the body (Hemiplegia) Headache Other typical aura symptoms – vision changes (sparkles, shimmers, visual field defects), numbness, tingling, trouble speaking Fever Impaired consciousness ranging from confusion to profound coma Ataxia (defective muscle coordination) Nausea and/or vomiting Phonophobia (increased sensitivity to sound) and/or photophobia (increased sensitivity to light). The imitrex does stop the pain of the migraine but I still have the numbness, blurred vision, etc as well as it cause tightness in my chest for an hour but it’s still better than the severe pain."
8/27/2020 7:44:29 PM,4 Stars,Rated  for Migraine Report ,I have suffered with migraine for 30 yrs. Doctors have tried everything on market including narcotics (which gave me rebound migraine ). I suffered so bad I considered ending my life. But imitrex finally got here woot woot!! My migraines were totally gone 100% within 20 mins. My husband would count down for me till pain would go away. Imitrex IS my life saver. I also have injections and nasal spray. Injections work so fast and I used when I would wake up out sleep from migraine pain so bad. I use imitrex to this day! I cannot thank you enough!!
7/26/2020 3:19:52 AM,5 Stars,Rated  for Headache - Cluster Report ,"I suffer from cluster headaches for about a month every 1-2yrs, before the Dr. prescribed me this i was on Pain pills and did nothing for me at all, this med i take it as soon as i feel one coming on and within 20-30 min its completely gone, this med has helped me alot!"
4/25/2020 8:18:44 AM,2 Stars,Rated  for Migraine Report ,"Every time I take my imitrex I get a pain in my chest, my skin feels tingly and numb, and my jaw locks and my neck is stiff. So yeah, my pain from my migraine is down, but I become extremely uncomfortable and can’t sleep or feel comfy while recovering from the migraine pain."
3/5/2020 8:34:01 AM,1 Stars,Rated  for Migraine Report ,"I felt like that wasabi sensation throughout my head, nose, and throat, accompanied with extreme grogginess. The side affects are about as comfortable as a migraine. I will never take this again."
8/11/2019 3:38:41 AM,5 Stars,Rated  for Migraine Report ,"I have multiple sclerosis with it's typical symptoms that are close to the side effects of using Sumatriptan... drowsiness, fatigue, dizziness, loss of balance. Migraine is not big on the list of my health issues but when I do get one the Sumatriptan works within a half hour. I take half of a 100 mg. tablet. I've taken a whole one and slept for 3 hours knocking me out. I'm very thankful to my neurologist and the med for giving me relief. It's a small victory when so many meds I've been on for m.s. don't do what they're supposed to. One less ""headache""!! Small joke!"
