,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
251191, ,Backache,2/29/2020,acetaminophen,362,5,5,"No Script or health Insurance needed to place and order with 10% discount for all purchased. It was nice to have some from them, I just hit them at. WhatsApp only:+1(775)7735306,
Call/Text:+1(775)7735306,
Wickr or Kik: peterking2014.
Email: peterkings2014@gmail.com.
Message code: (Med16) Discreet Delivery",5, ,This drug usually has no side effects.,16
251198,13-18,Painful Periods,1/12/2020,acetaminophen,362,4,3,"I usually take it whenever I am feeling extremely bad. Usually, it works for a short time, and then stops. It makes the pain bearable, but it doesn’t really help with the pain. I even have the extra strength, and it does nothing. ",4,Female,This drug usually has no side effects.,0
251206,65-74,Pain associated with Arthritis,11/11/2018,acetaminophen,362,4,3,I take 1000 mgs at bedtime and have developed muscle cramps in the ankles and calves. If I don't take it no cramps.Thought it would help me sleep.,2,Male,This drug usually has no side effects.,0
251212,55-64,Backache,8/30/2018,acetaminophen,362,5,3,"Tylenol doesn't help much, but unexpectedly BENEDRYL and allergy meds (chlorpheniramine maleate + phenylephrine HCL, for ex.) help greatly to reduce my lower back pain! I have tight glut, piriformis & hamstring muscles on left side. NSAIDS have never helped. ""Allergy"" meds seem to calm the involved nerves. Happy to have discovered this & wanted to share. I take just 1/2 caplet at bedtime, and if needed same mid-day, and I keep on moving! ",2,Female,This drug usually has no side effects.,4
251220,65-74,Joint Damage causing Pain and Loss of Function,6/18/2017,acetaminophen,362,5,1,Doesn't work on most anything I have tried. ,1,Male,This drug usually has no side effects.,0
251227,65-74,Other,5/30/2017,acetaminophen,362,5,4,"Acetaminophen works for my back, neck, shoulder and muscle pains better then other over the counter drugs. 
",4,Male,This drug usually has no side effects.,0
251233,35-44,Pain,4/7/2017,acetaminophen,362,1,1,Cause me to have stomach problems.  And my doctor prescribes me oxycodone with this in it.  I hate the added pain to relieve pain in other areas of my body.  Feels like I need to throw up constantly. ,1, ,This drug usually has no side effects.,0
251241,13-18,Painful Periods,1/8/2017,acetaminophen,362,5,3,would prefer ibuprofen but it can kill me because of the bupropion i take. works better with headaches but not the best with period pain/backaches/toothaches,3,Female,This drug usually has no side effects.,0
251248,19-24,Other,6/17/2016,acetaminophen,362,5,1,"The pills aren't effective at all, it's as if I'm not even taking any pain medication. My prescription was to take 1 pill every 4 hour hours; however, when the pain became so unbearable, I took two pills, but it still didn't alleviate whatsoever. Might as well not take anything at all lest I mess up my liver. ",1,Female,This drug usually has no side effects.,0
251254,13-18,Head Pain,2/1/2016,acetaminophen,362,3,4, ,3,Male,This drug usually has no side effects.,0
251263,25-34,Other,7/8/2015,acetaminophen,362,5,1,Does not ease any form of pain. Small or big. Worthless. ,1,Female,This drug usually has no side effects.,0
251269,65-74,Backache,5/28/2015,acetaminophen,362,5,1,"This does not help my back pain at all. I might as well take a sugar pill.
Because I take warfarin, I cannot take most other meds, like muscle relaxers, anti inflammatory, etc.",1,Male,This drug usually has no side effects.,11
251276,19-24,Painful Periods,1/15/2015,acetaminophen,362,3,4,"Makes a huge difference in the amount of pain I feel.  Peak days still aren't painless, but liveable.",5,Female,This drug usually has no side effects.,0
251284,45-54,Backache,7/5/2014,acetaminophen,362,2,1,"had 2 herniated discs in back,was taking way over limit for Tylenol in pills and hydrocodone.took for 8 moths switched to methadone .needed injectable morphine,dr's wouldn't give it to me",1,Male,This drug usually has no side effects.,14
251285,65-74,Other,5/25/2014,acetaminophen,362,5,5,"I take 2 of these each night as a sleep aid, it helps me get to sleep.",5,Female,This drug usually has no side effects.,0
251292,19-24,Migraine Headache,4/24/2014,acetaminophen,362,4,3, ,3,Female,This drug usually has no side effects.,0
251299,55-64,Other,4/6/2014,acetaminophen,362,3,2,"I had a distal gastric bypass in 1998 and now have bad joints and major back problems, being such a specialized surgery my family Doctor does not understand the major mal-absorption of Opioid Medications (hydrocodone and acetaminophen combination), which in my case, I had 63% of my small intestine bypassed which from what I get on the internet should make my pain med dose nearly twice what it is for a normal person.
  Because this is a controlled substance, my hometown family Doctor tells me she cannot give me any more than the standard maximum dose, however now that I am much older I need a higher dose. She also told me that if I go to oxycodone she could not match the dose of hydrocodone.
  I have tried to get my situation heard and understood only to find out other Doctors will not even see me because I have a pain contract with my family Doctor, and when I went to the DEA to voice my problems all they did was flag my file as being a possible drug addict or dealer, which it's very hard to get them to remove from your file. It took me three years.
  I have tried the FDA and they move slower than the US Mail.
  When I first went on hydrocodone it worked and kept me at about a 3 on the pain scale however, now that I am older and the reason I am on pain medication is getting worse, I cannot get a higher dose, and my Doctor simply does not understand anything about my mal-absorption problem with my distal gastric bypass surgery that requires me to have higher doses of nearly all oral drugs, but most importantly I am having the following problems.....
Vomiting,
nausea,  
stomach pain,
Dark urine,
a strange light clay look to my stool,
skin rash nearly everywhere that seems not to ever heal,
cannot seem to sleep enough,
dry mouth,
developed asthma,
Itch all over,
dark spots (bumps) that seem to move from place to place,
puss filled eruptions on Skin.
  What can I do?

dark urine, stomach/abdominal pain, extreme tiredness, or yellowing eyes/skin.",2,Male,This drug usually has no side effects.,0
251306,65-74,Backache,3/31/2014,acetaminophen,362,4,3,The only problem I seem to have with drug and I have watched this over the last 3 months. It causes my legs to be restless and I only get this after taking it.  taking it with codeine doesn't seem to have this effect.,3,Female,This drug usually has no side effects.,17
251307,55-64,Joint Damage causing Pain and Loss of Function,3/23/2014,acetaminophen,362,4,4,Helps tolerate my pain level,4,Male,This drug usually has no side effects.,3
251315,65-74,Backache,2/4/2014,acetaminophen,362,3,3,Somr Nausea,3,Male,This drug usually has no side effects.,5
251323,19-24,Backache,1/3/2014,acetaminophen,362,2,2, ,4,Female,This drug usually has no side effects.,11
251330,75 or over,Pain associated with Arthritis,12/26/2013,acetaminophen,362,3,2,"when 4,000 mgs was acceptable, my arthritis was controlled (no pain).  With 3,000, pain   comes back if dosage is not taken in six hour peroiods.  3,000 does not stop pain satisfactorily.  Ihave now added c_________.",2,Male,This drug usually has no side effects.,2
251338,75 or over,Backache,10/16/2013,acetaminophen,362,4,4,"i take this at least twice a day for a spinal/
back problem",4,Female,This drug usually has no side effects.,10
251344,65-74,Toothache,9/17/2013,acetaminophen,362,4,1,This medicine makes me sick.  Causes nausea followed by vomiting.,1,Female,This drug usually has no side effects.,2
251345,75 or over,Joint Damage causing Pain and Loss of Function,8/30/2013,acetaminophen,362,5,4,This treatment allows me to stay functional throughout the day and able to sleep at night.,4,Male,This drug usually has no side effects.,4
251351,25-34,Pain,8/28/2013,acetaminophen,362,5,5,"I have crohns disease and take tylenol every 8 hours and have relief in 10 minutes.I do not like taking the narcotics I am prescribed as I am afraid of becoming hooked. I am a Emergency Room Physician in Ohio. And Acetaminophen is a life saver as working 12 hours a day 4 to 5 days a week is bearing as it aggravates my crohns. GREAT MEDICATION. DEFINITELY RECOMMENDED BY 99% OF DOCTORS AS NONSTEROIDAL ANTI IMMFLAMATTORY DRUGS HAVE MORE SIDE EFFECTS THAN ACETAMINOPHEN, ALTHOUGH TYLENOL HAS VERY UNLIKELY CHANCES TO CAUSE SIDE EFFECTS ALTHOUGH RARE BUT POSSIBLE.",5,Male,This drug usually has no side effects.,1
