,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
354590, ,Facial Nerve Pain,2/29/2020,carbamazepine,1493,5,5,"No Script or health Insurance needed to place and order with 10% discount for all purchased. It was nice to have some from them, I just hit them at. WhatsApp only:+1(775)7735306,
Call/Text:+1(775)7735306,
Wickr or Kik: peterking2014.
Email: peterkings2014@gmail.com.
Message code: (Med16) Discreet Delivery",5, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",14
354599,55-64,Mania associated with Bipolar Disorder,10/19/2019,carbamazepine,1493,5,5,"It levels me out just fine. Occasionally the doctors have to take me up or down as far as dosage. Blood test for levels are a must.
Don't want to be as zombie.",4,Male,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",0
354609,75 or over,Extreme Discomfort in Calves when Sitting or Lying Down,9/30/2019,carbamazepine,1493,4,4, ,3, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",0
354617,65-74,Facial Nerve Pain,5/15/2019,carbamazepine,1493,4,4,"My Trigeminal Neuralgia started in 1996 as the result of a severe undiscovered infection caused by a corroded silver pin used during a root canal when I was 11 years old.(I am a language teacher and singer, and went through some excruciating days, using ice packs, heat, etc.)  Doctors just kept wanting to give me pain killers and all the dentists I went to, kept telling me they could see nothing wrong.  Meanwhile, the abscess was eating through my jaw bone.  After it was finally big enough to be discovered, about 10 - 12 months,(and x-rays got more precise) and the abscess was taken care of,  it went away for 20 years. I then moved and found a new dentist who did NOT LISTEN to me!  He made a night guard for the wrong area of my mouth and the TGN started again. Had two very severe attacks in 2017 and I have been using  Carbamazepine as needed when I feel twinges.  I have been very lucky.  I want to let you know about an organic essential that was introduced to me in a health/natural store. You roll it on the outside of the area causing the pain and I have found it to be extremely helpful.  It is VERIDITAS by Pranarom and is called: Just Plain Relief.  Yes,  that's  Plain (with an ""l"").  I take two 200 mg grams of Carba... twice a day and if I do get a spasm, I roll this on.  I find it very soothing and considerably helpful.  I certainly hope you find the right combination that will work for you.   ",4, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",6
354626,35-44,Attention Deficit Disorder with Hyperactivity,3/29/2019,carbamazepine,1493,3,3,"BEEN TAKING THIS FOR SEIZURES AND RECENTLY FOR BIPOLAR I. ALSO HAVE ADHD, BUT ON ADDERALL FOR THAT AND THEN KLONOPINS FOR PANIC ATTACKS. CARBAMAZEPHINE HAS WORKED FOR ME FOR MY SEIZURES DUE TO YEARS OF ABUSING OPIODS. I'D HAVE TO AGREE WITH SOME OF THE PPL HERE, ALSO HAVE TROUBLE WITH LEARNING NEW TRADES , DECREASED DRIVE AND SOMETIMES TIREDNESS ,ANTI-SOCIAL, NOT TOO MUCH ON WEIGHT GAIN. THERES PROBABLY FEW MORE, MY APOLOGIES. I'LL TRY TO REPOST THEM HOPING IT'LL HELP AT LEAST 1 PERSON OR MORE. OVERALL AT THE MOMENT THO, FOR MY SEIZURES, I HAVENT SCARED MY GF FOR 2 YRS AND COUPLE MONTHS, MY NATIONALITY IS ASIAN, AGE 38, USUAL ROUTINE ON LIFE, STARTED WITH MARY J. AND THEN DRINKING, SMOKE CIGARETTES FOR 23 YEARS AND STARTED VAPING TO QUIT, NOT SURE IF IM GOIN OFF SUBJECT , BUT BASICALLY EVERYONES DIFFERENT AND THE MEDICATIONS HAVE THEIR UPS AND DOWNS. SO FOR ME, MY SEIZURES WERE THE REASON IM ON THEM AND ID LIKE TO STOP TAKING CARBAMAZEPHINE EVENTUALLY. LOOKING INTO A LITTLE MORE NATURAL REMEDIES? CBD OILS ? LOL.! IM HOPING THO. THE RULES AND REGULATIONS ARENT SET WELL FOR THAT YET HERE , BUT WE DONT LIVE FOR EVER ALSO, SO TRY AND HOPEFULLY THIS CARBAMAZEPHINE WORKS OR DOESNT, FOR WHOEVER , TOOK TIME TO READ THIS. I PRAY YOU FIND A LIL PEACE OF MIND FROM WHAT EVER YOU'VE ENDURED TO GET HERE. WHICHEVR OR WHOEVER YOUR GOD...BLESS",3,Male,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",1
354632,55-64,Epileptic Seizure,3/18/2019,carbamazepine,1493,5,5,"I have used carbamazepine ER for 30 years and it has worked well except for 2 seizures 14 years ago which I attribute to 'the change.'  I had to increase my doseage to a total of 1100mg/day, split between morning and evening.  I have had some memory loss, but that started just after my first seizure when I was 35 and was told it was brain disintegration (can't think of the right word).  Finding words is sometimes difficult but can't know if it is the medication or the state of my brain after the seizure.  Every 3 weeks or so I have an aura where I can't follow conversation or process information well.  It ends with a headache so I know it is going away.  If often lasts all day and I may wake up with it.  I don't know if that means less control by the medicine or not.  At least I have not had any seizures for 14 years.  The only really BAD thing is that this drug is part of a class of AEDs that cause bone loss.  After all of these years, I have severe osteoporosis and broke my arm after a bad fall.  The surgeon had to pin everything together and said my bones were weaker than he had anticipated.  Considering I may have at least another 20 years to go, I am considering changing to another drug that does not affect bones.  However, all of the reviews I have read on those (lamotrigine, vimpat, topirimate and leviracetam) are very scary.  Taking Fosamax for my bones is not the answer, apparently, since I had been doing that for a number of years.  Anyone with any info on this is very appreciated.  I suggest all long term users to have bone density tests every 2 years - even the men.  ",5, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",2
354637,35-44,Epileptic Seizure,3/4/2019,carbamazepine,1493,1,1,Did not like the medication at all,1,Female,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",0
354644,65-74,Nerve Pain,1/8/2019,carbamazepine,1493,3,3,"For a year I have been treated for TMJ but I have such intense pain that I would rather die, that my husband made me go to our family doc about it. He said he thinks its Trigeminal Neuralgia, sent me to ENT, who agreed, he sent me for MRI and to Neurologist, who also agrees it Tri Neuralgia. Now on Carbamazepine, which seems to help but only been on it for 3 weeks. Neuro wants to change that to gabapentin, but side effect reviews for that scare me. I haven't had any pain since 1-2-19, so hoping its working. My pain comes whenever, night or day and lasts anywhere from 1/2 hr to 2 hrs. Would rather go thru childbirth with no assistance than this pain. I'm hoping someone finds an effective cure for this because it's ruining my life-afraid to do anything or go anywhere because it starts out of nowhere. Don't want to embarass myself or my husband. So glad he loves me and helps me through the pain, just by holding me and letting me cry on his shoulder til it passes. Sorry but can't help but cry--don't want to but automatically tears come.",3, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",1
354653,65-74,Facial Nerve Pain,12/11/2018,carbamazepine,1493,5,5,Taking 200 m per day...not eliminating pain...I will have to increase dosage.,5, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",4
354657,45-54,Facial Nerve Pain,8/6/2018,carbamazepine,1493,5,5,"Was experiencing 120 volt-like pain stabs for a while which transferred to 2-5 minute attacks. It was like my own body was electrocuting itself. Carbemazepine at 200mg a day did nothing.  It took 400 mg a day to finally get it under control. I am going to a Dentist today in hopes of extracting a tooth that may be pressing on the nerve.  I am not looking forward to the surgery options. All in all, the Carbemazepine did save my sanity for the time I have been on it. I could actually function as a normal human being this last week. God Bless (or whatever higher being you believe in) if this is happening to you. I would not wish this on my worst enemy.  The medication did work wonders though, but, it is not a final solution.",5, ,"Nausea ,  vomiting ,  dizziness , drowsiness,  constipation ,  dry mouth , or unsteadiness may occur.",12
