,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
24246, ,Epileptic Seizure,5/29/2019,lamotrigine,4582,5,4,"It is almost too early for me to review but so far it’s been nothing but good. No issues so far but it’s just under a week of me being on the drug.. no noticeable difference, nothing shocking anyway. Regular marijuana user who was told to quit because of it and I see why now... since being on this drug (not the pot) I’ve been sleeping BETTER and it helps with the pot... I’m a-ok with this. As far as stopping seizures go, so far so good but like I said it hasn’t been long. ",4,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0
24347,55-64,Epileptic Seizure,3/31/2018,lamotrigine,4582,4,1,"This medication has caused me not to be able to sleep, be nauseated, have blurred vision to the point of barely being able to read.  Urinate very frequently. It has made no difference in my seizures.  Not a good medicine for me.",1,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
24389,55-64,Simple Partial Seizures,9/6/2017,lamotrigine,4582,5,5,"Had a black out seizure and wreck a motorcycle. Two more black outs in a months time. Was prescribed  two different seizure meds before this one. No more seizures, going on 5 yrs. No side effects.",5,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0
24396,25-34,Epileptic Seizure,6/8/2017,lamotrigine,4582,4,4,"Horrible! My doctors have me on 700mg a day and I have had 2 accidental over doses because I was late taking the dose by maybe 45min to hour. Before I started taking this 4 years ago I didn't have any type of depression or anxiety issues. I now have manic bipolar depression and server anxiety. i have had 2 miscarriages because of this drug, the doctor never let me know it was unsafe for conception. So till they can ween me off and stabilize me with someone safer, I can't have any childern. If you have just a seizure condition I HIGHLY advise you not to take this pill.",1, ,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",3
24431,75 or over,Simple Partial Seizures,2/19/2017,lamotrigine,4582,5,4, ,4,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0
24466, ,Convulsive Seizures,11/22/2016,lamotrigine,4582,3,3,"why has actvis stopped making this drug 
",3,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0
24529,55-64,Epileptic Seizure,3/1/2016,lamotrigine,4582,5,5, ,4,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0
24613,25-34,Epileptic Seizure,7/21/2015,lamotrigine,4582,5,5,"I have been seizure-free for 5 years on the brand name medication (Lamictal XR). Due to an insurance coverage issue, I am going to have to switch to the generic (Lamotrigine ER), and I'm petrified it won't work. I'm a lawyer, and losing my ability to speak and think clearly would make me lose my job. If you can get the brand name, get it. I could not recommend a better medicine than Lamcital XR. For reference, I started at 25 mg/day and worked up to 200 mg, which I was on for years. I am 28 years old. ",5,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",10
24648,45-54,Epileptic Seizure,4/13/2015,lamotrigine,4582,5,3,"I have been on this medication for 7 months. I have had a break through seizure taking 200mg a day. Now we have increased to 300mg a day. I have hand tremors and muscle jerks. My doctor calls the muscle jerks myclonic seizures. I have nausea every morning. I just dont think this medicine is the right one for me. I dont see him again until July 3 months away. But having to bring these issues to his attention, he is not very easy to work with on getting the medication changed.",3,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",3
24690,13-18,Epileptic Seizure,11/6/2014,lamotrigine,4582,5,4,Im have been taking this drug for about 2 years and at first i was experiencing headaches but now im completely fine. I take 200MG per day and it has done me good. I haven't had a seizure for about a year or so but i do have sudden moments of me blanking out to the point of me not being able to process anything. But that has nothing to do with this drug.,4,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",2
24697,25-34,Simple Partial Seizures,11/1/2014,lamotrigine,4582,5,5,i was having seizure activity for 5 yrs unknown to me. I would pass out(or so I thought) and wouldn't know what happened. I was diagnosed this year and this medication has worked wonderfully for me. I am on 200mg a day and absolutely no seizures. although my anxiety is a little worse. this med changed my life.,5,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
24752,55-64,Simple Partial Seizures,7/9/2014,lamotrigine,4582,4,4, ,4,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",0
24770,25-34,Simple Partial Seizures,5/21/2014,lamotrigine,4582,5,4,"I started this drug for seizures that I rarely have, however, I also suffer from depression and mood swings. My doctor told me it would help with that as well. I have never felt happier for the first two weeks of being on this drug. My dose was upped a week and a half ago and I'm feeling a bit irritable but I'm very stressed out so that may be why. I hope this starts to level off bc I absolutely loved it the first two weeks. ",4,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
24811,55-64,Convulsive Seizures,3/22/2014,lamotrigine,4582,4,4,"Started taking Tegretol and found it wasn't effective, so the doctor changed my medication to Lamotrogine and I have noticed a huge difference in the way I feel (much better)",4,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",2
24835,55-64,Simple Partial Seizures,2/20/2014,lamotrigine,4582,5,4,Complex Partial Seizures,4,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
24853,19-24,Epileptic Seizure,1/5/2014,lamotrigine,4582,5,3,"I was diagnosed with taking partial complex seizures and started taking 25 mg lamotrigine about 2 weeks ago and am now taking 25mg 2x a day. I am experiencing many side affects that are listed on the drug sheet, such as headache, some nausea, swollen lymph gland and vaginal itching. I called the nurse and she told me not to worry, but I can't seem to stop. I do not think that this is treating me well and do not want to continue taking it. ",1,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",7
24942,55-64,Convulsive Seizures,10/2/2013,lamotrigine,4582,5,4,It also is a mood stabilizer!!,4,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
24968,65-74,Simple Partial Seizures,9/15/2013,lamotrigine,4582,1,1,I detect no difference over phenytoin other then the cost.180 caps of phenytoin for $28.00 and $103.00 for 57 tablets.On social security this is impossible to maintain.,1,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
25000,35-44,Epileptic Seizure,8/10/2013,lamotrigine,4582,5,5,very helpful,5,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",1
25064,65-74,Epileptic Seizure,7/21/2010,lamotrigine,4582,5,5,sex life went to hell,2,Male,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",2
25078,35-44,Epileptic Seizure,7/14/2010,lamotrigine,4582,1,4,"My husband has had seizures for 10 years. he was on Kepra for the first two years. Seizures did not stop. was on Carbamazepine from 2007-2010. Seizues had stopped but every 3 months he would start to vommit 6-12 a day. Had every test ran, found nothing. ER visits for getting tedious, saline bag, anti-naseau drip. Has been lamotrigine for a month , starting to vommit again. ",1,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",4
25127,19-24,Epileptic Seizure,6/24/2010,lamotrigine,4582,5,5,well my son is 4 and he has been on alote of mads and this one is very good so of now he as not had any in 7 months thank god this has been the best but if it is to high of a does it is bed  because he have getting sick every day and pissing on his self so keep a eye on it and good luck,5,Female,"Dizziness , drowsiness,  headache ,  vomiting , or  upset stomach  may occur.",2
