,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
61972, ,Pain,2/29/2020,naproxen,5173,5,5,"No Script or health Insurance needed to place and order with 10% discount for all purchased. It was nice to have some from them, I just hit them at. WhatsApp only:+1(775)7735306,
Call/Text:+1(775)7735306,
Wickr or Kik: peterking2014.
Email: peterkings2014@gmail.com.
Message code: (Med16) Discreet Delivery",5, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",12
61990,35-44,Rheumatic Disease causing Pain & Stiffness in Backbone,2/11/2020,naproxen,5173,5,5,Iam 40 and I have 3 worn discs and 1 bulging so in constant pain I can’t move and constantly in pain I’ve been taking it for a week and Iam putting on weight very quickly is anyone having the same result but helps loads with the pain ,3,Female,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62003,65-74,Other,1/1/2020,naproxen,5173,5,3,"I was diagnosed with gout.  My PCP prescribed hydrocodone because the pain was so severe if a sheet touched my foot during bedtime, I'd scream in pain.  Went back to refill and saw a PA because my PCP was on vacation for the holidays.  I told him Naproxen can take up to two weeks to work and that I needed pain meds.  He would not give me more hydrocodone but prescibed this sh**. Said it would work right away despite my telling him I've been on it before and it can take weeks to kick in. Yes, the inflammation is decreasing, but I'm still in pain and now I've got the runs from this medication.
I see my PCP on the 8th and going to tell her that her PA needs to go back to school.",1, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62016,25-34,Muscle Pain,10/6/2019,naproxen,5173,3,3,"Been researching on the web about naproxen 500mg. Was very hesitant to take it. I have pulled a Charlie horse and my knee is all knotted up and I can't move. Little mobility. Dr prescribed me naproxen 500mg but I am so sensitive to medication, so I cut it in half so it's easier to take. ",3,Female,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62029,65-74,Inflammation of the Tendon,10/2/2019,naproxen,5173,5,5,8 months with neck pain-tendonitis. Nothing was working. Took Naproxen 220mg/twice daily. Pain completely under control...gone away!,5, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62042,13-18,Muscle Pain,9/24/2019,naproxen,5173,5,4,"Gave me bad stomach pain and slight nausea but works well on relieving my shoulder pain, even in sports.",2,Female,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62055,55-64,Muscle Pain,8/24/2019,naproxen,5173,1,1,Hypersensitive allergergic reaction. Anaphylactic shock. Nearly fatal.,1, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62068,25-34,Pain,6/3/2019,naproxen,5173,5,5,naproxen takes all my sciatica pain away for about 8+ hours . Couldn't be any happier getting back into the gym without pain .,5,Male,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",6
62081,45-54,Head Pain,6/3/2019,naproxen,5173,5,5,"No Script or health Insurance needed to place and order with 10% discount for all purchased. It  was nice to have some from them, I just hit them at.
WhatsApp only: +1(252)4601212,
Wickr or Kik: peterking2014.
Email: peterkings2014@gmail.com.
Message code: (Med16)
Discreet Delivery
",5,Female,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62094,35-44,Fever,6/3/2019,naproxen,5173,5,5,"No Script or health Insurance needed to place and order with 10% discount for all purchased. It  was nice to have some from them, I just hit them at.
WhatsApp only: +1(252)4601212,
Wickr or Kik: peterking2014.
Email: peterkings2014@gmail.com.
Message code: (Med16)
Discreet Delivery
",5,Female,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62107,35-44,Migraine Headache,6/3/2019,naproxen,5173,5,5,"No Script or health Insurance needed to place and order with 10% discount for all purchased. It  was nice to have some from them, I just hit them at.
WhatsApp only: +1(252)4601212,
Wickr or Kik: peterking2014.
Email: peterkings2014@gmail.com.
Message code: (Med16)
Discreet Delivery
",5,Female,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62120,55-64,Inflammation of the Sac Surrounding the Joint - Bursitis,5/6/2019,naproxen,5173,4,2,"had minor knee surgery, loss of appetite, nausea, irritable",1,Male,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62133,35-44,Minor Musculoskeletal Injury,5/4/2019,naproxen,5173,4,4,"Had a pulled chest muscle and was prescribed 500mg twice a day. Even when taking it with food, I was up most of the first night nauseous and vomiting. Took one more dose next morning with food and got sick again at work. The upper stomach pain was so bad, I had shortness of breath, and even went to the Dr because it was too painful to sit or lay down! I have never had side effects from a med before like this. Took 2 days of going without the med and I am finally starting to feel normal again. It did seem to help with pulled muscle, though I would rather have the pain from that then the stomach issues. As a note, the pharmacist told me this drug does not interact well with Zoloft so maybe that's why my side effects were particularly bad? ",2, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62146,35-44,Painful Periods,3/6/2019,naproxen,5173,4,4,"I have endometriosis, adenomyosis and cystic ovaries and this is the only over the counter drug that helps reduce the severity of the painful episodes besides narcotics. HOWEVER, be forewarned. YOU MUST EAT a FULL MEAL prior to taking this or it will irritate your belly. I get severe stomach pain if I don't eat enough. Also drink a full glass of water with it so that it dissolves more quickly. I take this only for menstrual pain. I prefer ibuprofen for headaches.",4, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62159,55-64,Pain,2/26/2019,naproxen,5173,1,1,Doesn't take all the pain away and make me very sleeply.,1, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",5
62172,45-54,Toothache,12/28/2018,naproxen,5173,5,5,I have used naproxen for toothaches and it's the only thing that gives me quick relief.I recently had a spider bite on my finger and on the fourth day woke up in great pain with a red line going up my arm. I took naproxen and headed for the emergency by the time I arrived the pain was gone. ,5, ,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",0
62184,19-24,Pain,12/1/2018,naproxen,5173,5,1,I took it for a serious pain in my right arm but other than making me sleep nothing got better if not worse. I never had such pain like in the morning after taking it. I’m talking about only four hours after taking in the pain gets so bad that I’m not taking it again since I suspect if it can’t make things worse.  Best case it helps nothing ,1,Male,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",11
62195,35-44,Pain,8/23/2018,naproxen,5173,1,1,I think it is a placebo.,1,Male,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",11
62205,65-74,Pain,6/15/2018,naproxen,5173,1,1,"A DO prescribed 500mg of this drug for me to ""just try it and see if it works"", while he was looking right at my medical record showing that I'm on a daily aspirin regimen that cannot be stopped.  You cannot mix aspirin and naproxen.  I ditched him and this prescription, with my pharmacist's agreement.",1,Male,"Upset stomach ,  nausea ,  heartburn ,  headache , drowsiness, or  dizziness  may occur.",3
