,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount
148579,25-34,Migraine Headache,2/6/2020,sumatriptan succinate,7741,5,5,"Within 15 minutes this gets rid of my migraine every single time, I only take it for really bad migraines because the side effects are rough. I get really sore muscles, sore throat, and feeling of weakness. The side effects are better to have than a migraine, though. Honestly it's great to know I can continue my day if I get a migraine with this pill. ",4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148580,25-34,Migraine Headache,1/4/2020,sumatriptan succinate,7741,5,5,"I’ve been getting debilitating migraines for some tome with nothing working as relief 
Started this medicine about a week ago and my headache disappears within a half hour
Medicine makes me feel a little tired and causes a burning sensation in my nose 
Mild upset stomach and loss of appetite the following day
All these side effects are worth it to me!",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148581,13-18,Migraine Headache,8/2/2019,sumatriptan succinate,7741,5,5, Worked within 1 hour. Made my throat hurt a bit but worth it.,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148582,65-74,Migraine Headache,2/10/2019,sumatriptan succinate,7741,5,5,"While this medication both at 1/2 and a full pill work very well on the headache it makes me dizzy and I pee all night, usually at least 4 times.  That's not good.  So I try not to take it because of that.",3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148583,55-64,Migraine Headache,1/11/2019,sumatriptan succinate,7741,5,5,"I have been taking Sumatriptan for over 30 years and it has saved my life.   I get migraines so bad I feel I am at death's door,  and this medication stops them cold in 30 minutes.  I have no side effects whatsoever. NO other medication has ever worked at all. 

Not everyone will be as successful as I am or should take it,  but if you have migraine,  I would strongly suggest seeing your doctor to see if it will work for you. ",5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148584,65-74,Migraine Headache,11/21/2018,sumatriptan succinate,7741,4,1,"get migraines at least once a week-dr. said try this now have nausea ,dizzy/loopy , and still have migraine on top of the other bad feeling. not taking anymore ..no help--but it was easy to swallow the pill.",1,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148585,19-24,Migraine Headache,10/4/2018,sumatriptan succinate,7741,5,2,"I have been taking this for 2 months. I get 2-3 migraines a week. However, only 2-3 a MONTH are debilitating. Those are the instances where I have ONLY noticed that Sumatriptan actually helps. For my minor migraines it does nothing. Although, I am not sure if the relief for my bad ones are from the sumatriptan or sleeping/ibuprofen/hot shower.",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148586,45-54,Migraine Headache,6/5/2018,sumatriptan succinate,7741,5,5,"I suffered with migraines lasting mostly up to four days per occurance. They were so severe I’d almost wish for death! Finally my dr put me n sumitriptan, and it literally saved my life I believe! I try not to focus on the neg side effects, because to be rid of the pain is worth it! One pill will knock it out within min, and I know I can always take the second one for the most severe flare ups! 
I do take it as last resort as I have I very high threshold for pain because this is a dangerous med, but when I need it , it has never failed my severe pain!!",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",2
148587,55-64,Migraine Headache,5/18/2018,sumatriptan succinate,7741,5,5,"I have had migraine for years, y this rx works effectively. ",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148588,55-64,Migraine Headache,5/7/2018,sumatriptan succinate,7741,5,5,"I have had migraine headaches since I was a pre-schooler. For as long as I can remember I have suffered with migraine headaches sometimes three to four times per month and each occurence could last up to three days. I would be hypersensitive to light and noise. My head would ache severely on my left side.   I would be nauseous and sometimes dizzy and miserable from the feelings of helplessness. I struggled through elementary and high school and persevered through the agony.  Tylenol, aspirin, ibuprofen did nothing to lessen the pain. It was after my family doctor tried me on many other alternatives that he suggested Sumatriptan.   I was in my late 20s. It was a lifesaver!! It is the ONLY medication that has taken away my migraines. I just turned 60 and although the frequency of my migraine attacks has reduced, the intensity remains the same. Sumatriptan works EVERY time to take the pain and symptoms away. I honestly do not know how I could live on today if it were not for Sumatriptan.   The negligible side effects are transient and insignificant compared to the migraine pain. From what I understand it does not work on some people who claim to have headaches. All I can suggest is that their headaches may not be actual migraines but possibly some other headache that Sumatriptan is not designed to treat.  If it doesn't work for you that doesn't mean that it doesn't work for others. It saved my life and my sanity.  ",5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148589,35-44,Migraine Headache,1/30/2018,sumatriptan succinate,7741,5,5,"Incredible lifesaver. From early onset of a migraine to feeling no pain at all - even blissful, relaxed, calm. This completely eradicates my worst migraines within 30-40 minutes leaving me feeling amazing. Wish I knew about it sooner.",5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148590,25-34,Migraine Headache,1/16/2018,sumatriptan succinate,7741,5,2,"At first it seemed to work, but its like a Hit and miss now its more of a miss. I instantly feel very sick and then sometimes my migraine will go away, but with the nausea I really don't like this medication anymore ",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148591,55-64,Migraine Headache,11/2/2017,sumatriptan succinate,7741,5,5, ,5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148593,35-44,Migraine Headache,10/12/2017,sumatriptan succinate,7741,4,4,Definitely worth a try ,4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",0
148594,55-64,Migraine Headache,5/21/2017,sumatriptan succinate,7741,5,5,This Drug has improved the quality of my life greatly! After years of taking T3's. To make it thru the day. And they just knocked the edge off the headaches.I tried sumatriptan and it works with no side effects. Don't let your headache get out of control. If you feel one take one immediatly.Takes about an hour.After 30 years of pain this has changed my life for the better.,5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",10
148595,13-18,Migraine Headache,4/3/2017,sumatriptan succinate,7741,5,5,"This really is a miracle pill. My grandpa, dad and myself all suffer from the same type of migraines. We have aura symptoms, our face and body goes numb for about 20-30 minutes, then the piercing cluster headache pains kick in followed with intense vomiting. I took sumatriptan with my last migraine spell and let me tell you.. I still had a light headache, but my numbness vanished and I didn't vomit once. I was able to sleep the rest off. No crazy side effects either. So thankful for these. ",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",5
148596,25-34,Migraine Headache,2/10/2017,sumatriptan succinate,7741,4,4,"Within ten minutes of taking this medication, I had nausea, vomiting, and diarrhea. The headache went away, but it was traded for the above issues.",2, ,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148600,35-44,Migraine Headache,2/8/2017,sumatriptan succinate,7741,5,4,I suffer from cluster headaches and migraines.  I just started taking this medicine yesterday.  It is effective for me in controlling the pain.  About an hour after taking it my head pain is gone.  That last for about 6 hours before i need another one (50mg) What i do not like are the side effects.  i experience intense tingling and tightening in my upper neck shoulders and arms that is very uncomfortable.,3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",6
148601,55-64,Migraine Headache,2/2/2017,sumatriptan succinate,7741,5,5,"I was lucky to find that Sumatriptan works very well for me in regard to migraines. I used to wait to take it to make sure I had a ""real"" migraine as opposed to a headache"". I learned, finally, not to wait - the earlier, the better. The results are quick - under an hour and the side affects are minimal. Even if I wake up with a migraine, I can take this and get on with my day; perhaps not at 100%, but certainly good enough to get things done.",5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",5
148602,35-44,Migraine Headache,1/21/2017,sumatriptan succinate,7741,1,1,"Prescribed Sumatriptan 50mg. Took one with 2 ibuprofen at 2000, no effect. Another at 0430, no effect and a third at 1000 with 2 paracetamol, no effect. By 1130 I had to ring my pharmacist, I thought my head was about to implode, my fingers numb and my speech slurred. Sumatriptan appeared to aggravate my migraine and was completely ineffective.",1,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",5
148603,65-74,Migraine Headache,12/12/2016,sumatriptan succinate,7741,5,5,"Sumatriptan has been a miracle drug for me. I typically wake up with a migraine. I take one 100mg pill and drink a cup of caffeinated coffee, and almost every time that awful headache is gone! I sense NO side effects; it just works. If you are a migraine sufferer, and you have hesitated to ask a doctor about this drug, wait not one day longer. I hope it works for you just as it works for me....",5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",4
148604,19-24,Migraine Headache,10/13/2016,sumatriptan succinate,7741,5,5,"I honestly love this medication so much. I have been plagued with migraines for over 10 years now and nothing ever worked. I spent most of high school and late teens trying to deal with the pain until my doctor prescribed sumatriptan to me a year ago. I get 9 100mg pills but 100mg is too much so I break them in half which is nice cause it gives me 18 pills. My pharmacist says they work best when you take lots of water so I at the onset of a migraine I try to take them with a full glass, plus its good to stay hydrated when you have a migraine anyways. It works within an hour and my migraine is gone. I do get some muscle soreness throughout my entire body which lasts about 4 to 5 hours afterwards but after a year I've adjusted to it and it's honestly way easier to deal with then a migraine. I love sumatriptan so much and it has saved me so many times from having to go to work and endure the intense pain of a migraine, or having my plans ruined because I have to stay in bed all day. The only problem is I've become so reliant on this medication that when I get down to my last pill, if I don't have time to get my refill I get really anxious. Luckily 1 prescripton lasts at least 3 to 4 months.",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",8
148605,45-54,Migraine Headache,10/13/2016,sumatriptan succinate,7741,5,5,"I have been using this drug for year and have had much success with it.  Since they only give you 9 in a bottle, I try to take a half a pill as soon as I feel a migraine coming on and most of the time that works. Since it is generic for Imitrex,it is much cheaper too. I used to take Butalbital/Fiorinal (sp?)and didn't like the way they made me feel.  Prefer this much better.  ",5,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148606,35-44,Migraine Headache,10/3/2016,sumatriptan succinate,7741,5,4,"After 18 years of suffering from migraines I was newly prescribed Sumatriptan and it has been helping tremendously. I have decided to rely largely more on a new diet plan, exercise, moderation, therapy, herbs and other natural remedies, even thou the side effects are a bit crazy...like tiredness, body tightness, dizzyness, nauseous and full on body heat!....its WAYYY better than that ongoing extreme pain and having to go to the ER, missing out on work and life. Usually takes about 1hr to 1 /12 hrs to work and sometimes it doesn't fully go away but the pain is reduced. If you suffer from migraines too, I would request you try this out!
",3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",1
148607,55-64,Migraine Headache,9/1/2016,sumatriptan succinate,7741,5,4,"usually stops pain of migraine within 1 hour 1/2 but does not stop other symptoms. Works 95% of time. A life saver after many years of nothing that releived the pain.
",4,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
148608,35-44,Migraine Headache,7/25/2016,sumatriptan succinate,7741,3,3,"This pill initially works to rid my migraine. But by the end of the day, it's back worse. So I have to take another, which works maybe 50% of the time. Then I go to bed, and wake up in the middle of the night with another rebound migraine. It's 50/50 again if it will work. Side effects are nausea unless I eat something with it, I'm extremely hot and sweaty, a general feeling of just feeling bad.  ",3,Female,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",7
148609,55-64,Migraine Headache,7/16/2016,sumatriptan succinate,7741,5,5,"Works at least 85% of the time.
Easy to take (orally) the very small pills.
Nothing else I have ever taken including powerful narcotics has ever worked nearly as effectively and consistently as sumatriptan. 

My Doctor told me that it could make me feel a little dizzy after the first few minutes of it taking effect, particularly when standing up from a sitting or laying down position, but for me there has been zero dizzy spells. 
I have been taking it for years.

The only side effect I have on rare occasion experienced is a slight nausea that lasts for up to 3 hours but compared to the nausea and pain of the migraines, the infrequent and minor level of nausea I have experienced is rather insignificant.    ",5,Male,"Flushing, feelings of tingling/numbness/prickling/heat, tiredness,  weakness , drowsiness, or  dizziness  may occur.",3
